ID,length,radius_gyration,compactness,frac_positive,frac_negative,net_charge,frac_hydrophobic,frac_aromatic
N_C108,12,8.5908,1.3968430881205118,0.75,0.0,9,0.16666666666666666,0.0
N_C11,20,9.41627,2.1239832180014027,0.15,0.0,3,0.65,0.05
N_C112,24,11.112412,2.1597470488213864,0.4166666666666667,0.041666666666666664,9,0.25,0.0
N_C115,8,6.5352783,1.2241253712385827,0.5,0.0,4,0.5,0.5
N_C123,15,10.281929,1.458870215549321,0.26666666666666666,0.0,4,0.4666666666666667,0.2
N_C13,18,9.8248825,1.8320829777436447,0.7222222222222222,0.0,13,0.2777777777777778,0.16666666666666666
N_C131,5,5.5711975,0.8974731179850677,0.2,0.0,1,0.8,0.0
N_C135,15,8.677713,1.7285659618680325,0.13333333333333333,0.13333333333333333,0,0.5333333333333333,0.0
N_C14,16,8.643662,1.8510671937456646,0.4375,0.0,7,0.4375,0.1875
N_C167,10,6.0930037,1.6412266282045915,0.3,0.0,3,0.5,0.1
N_C168,13,7.527716,1.7269514051802253,0.38461538461538464,0.0,5,0.5384615384615384,0.07692307692307693
N_C169,27,11.333159,2.3823894940279016,0.3333333333333333,0.07407407407407407,7,0.2962962962962963,0.037037037037037035
N_C170,14,7.48978,1.869213794661266,0.42857142857142855,0.0,6,0.21428571428571427,0.0
N_C18,5,5.1432576,0.9721465210199743,0.4,0.0,2,0.4,0.0
N_C187,16,8.111041,1.9726197739388267,0.375,0.0,6,0.375,0.125
N_C192,16,12.313645,1.2993715125389633,0.625,0.0,10,0.125,0.0
N_C193,18,7.6370783,2.356922284644078,0.1111111111111111,0.16666666666666666,-1,0.2222222222222222,0.05555555555555555
N_C197,22,10.60341,2.0748042830670843,0.2727272727272727,0.13636363636363635,3,0.3181818181818182,0.22727272727272727
N_C198,10,9.943185,1.0057139787947365,0.5,0.0,5,0.2,0.0
N_C2,24,10.787963,2.2247017525372836,0.08333333333333333,0.041666666666666664,1,0.4583333333333333,0.16666666666666666
N_C20,23,12.000819,1.9165358301577484,0.391304347826087,0.0,9,0.43478260869565216,0.08695652173913043
N_C210,23,8.371791,2.7473213692744936,0.34782608695652173,0.13043478260869565,5,0.2608695652173913,0.043478260869565216
N_C211,16,8.572005,1.8665410825665394,0.5,0.0,8,0.1875,0.0
N_C216,21,8.034666,2.6136742758836307,0.2857142857142857,0.14285714285714285,3,0.2857142857142857,0.047619047619047616
N_C219,25,11.37722,2.1973733180886983,0.44,0.08,9,0.28,0.28
N_C22,26,10.908347,2.3834958395227375,0.11538461538461539,0.0,3,0.6153846153846154,0.11538461538461539
N_C220,11,8.303049,1.3248145210327418,0.7272727272727273,0.09090909090909091,7,0.09090909090909091,0.0
N_C231,11,6.8044386,1.616591854402772,0.5454545454545454,0.0,6,0.36363636363636365,0.09090909090909091
N_C233,28,12.270012,2.2819863765385464,0.5357142857142857,0.0,15,0.4642857142857143,0.0
N_C239,18,15.881805,1.1333724047154674,0.0,0.16666666666666666,-3,0.8333333333333334,0.0
N_C240,15,9.102986,1.6478108882887716,0.4666666666666667,0.0,7,0.2,0.06666666666666667
N_C242,18,9.885491,1.8208503072009974,0.8888888888888888,0.0,16,0.0,0.0
N_C243,25,9.857399,2.5361659838904544,0.36,0.08,7,0.32,0.04
N_C248,13,6.28646,2.0679365111150454,0.0,0.0,0,0.15384615384615385,0.07692307692307693
N_C25,18,9.102733,1.977428171903613,0.4444444444444444,0.0,8,0.4444444444444444,0.0
N_C253,12,7.063313,1.6989194712884585,0.3333333333333333,0.0,4,0.5833333333333334,0.16666666666666666
N_C256,10,6.012737,1.6631361619613845,0.1,0.0,1,0.5,0.2
N_C257,13,8.774298,1.4816000577358797,0.6923076923076923,0.0,9,0.15384615384615385,0.0
N_C260,7,7.0957937,0.9864999282976271,0.14285714285714285,0.14285714285714285,0,0.7142857142857143,0.14285714285714285
N_C30,15,8.374813,1.7910847510279415,0.26666666666666666,0.0,4,0.5333333333333333,0.26666666666666666
N_C37,6,5.2049966,1.152738508285658,0.6666666666666666,0.0,4,0.0,0.0
N_C40,16,7.6443586,2.0930467504298758,0.375,0.0,6,0.5625,0.0
N_C73,15,9.646889,1.5549054638546642,1.0,0.0,15,0.0,0.0
N_C74,14,7.174038,1.9514811783917207,0.7142857142857143,0.0,10,0.07142857142857142,0.0
N_C75,15,7.950001,1.8867922717599668,0.5333333333333333,0.0,8,0.4666666666666667,0.2
N_C8,13,7.499405,1.7334708767988996,0.46153846153846156,0.0,6,0.38461538461538464,0.23076923076923078
N_C9,18,9.154985,1.9661418515457465,0.5,0.0,9,0.4444444444444444,0.0
N_C93,9,6.2284055,1.4449926285682657,0.3333333333333333,0.0,3,0.2222222222222222,0.2222222222222222
N_C95,9,5.814826,1.5477677202992084,0.2222222222222222,0.2222222222222222,0,0.1111111111111111,0.0
P_10,5,4.9807124,1.0038724553055434,0.2,0.2,0,0.4,0.4
P_106,10,6.21421,1.6092150001730336,0.6,0.0,6,0.4,0.0
P_109,10,6.1662936,1.6217197257427607,0.2,0.0,2,0.4,0.1
P_112,10,6.0934544,1.6411052594511264,0.0,0.2,-2,0.5,0.3
P_115,11,8.186902,1.3436095775814079,0.7272727272727273,0.0,8,0.09090909090909091,0.09090909090909091
P_119,11,6.4503536,1.7053328614013128,0.45454545454545453,0.0,5,0.36363636363636365,0.0
P_12,5,5.625722,0.8887748205330499,0.0,0.0,0,0.4,0.0
P_121,11,7.9365788,1.3859876334187524,1.0,0.0,11,0.0,0.0
P_123,11,8.286591,1.3274458172979542,0.7272727272727273,0.0,8,0.09090909090909091,0.09090909090909091
P_13,5,5.406481,0.9248160115545555,0.4,0.0,2,0.6,0.2
P_131,12,6.8398776,1.754417358354347,0.16666666666666666,0.25,-1,0.3333333333333333,0.08333333333333333
P_145,12,6.4402523,1.8632810382914853,0.08333333333333333,0.16666666666666666,-1,0.25,0.0
P_150,12,5.7801566,2.0760683152190995,0.08333333333333333,0.0,1,0.25,0.08333333333333333
P_168,13,7.4025497,1.7561516572242486,0.38461538461538464,0.0,5,0.46153846153846156,0.15384615384615385
P_169,12,6.2895103,1.907938698378832,0.08333333333333333,0.16666666666666666,-1,0.5,0.25
P_18,5,5.273377,0.9481590364762037,0.2,0.2,0,0.6,0.0
P_186,18,7.196433,2.501239132166191,0.2222222222222222,0.05555555555555555,3,0.2777777777777778,0.0
P_188,18,9.102041,1.977578382306624,0.4444444444444444,0.0,8,0.4444444444444444,0.0
P_189,18,9.238881,1.9482878698683863,0.5555555555555556,0.0,10,0.4444444444444444,0.0
P_193,17,14.814411,1.147531266182208,0.11764705882352941,0.0,2,0.8823529411764706,0.0
P_194,17,14.440756,1.1772236982267472,0.23529411764705882,0.0,4,0.7647058823529411,0.0
P_195,17,14.721072,1.1548071888072184,0.23529411764705882,0.0,4,0.7647058823529411,0.0
P_198,19,9.992532,1.9014200229835496,0.5789473684210527,0.0,11,0.10526315789473684,0.0
P_199,19,9.412822,2.018523293528438,0.42105263157894735,0.05263157894736842,7,0.21052631578947367,0.10526315789473684
P_200,19,10.854184,1.7504770267585719,0.47368421052631576,0.05263157894736842,8,0.2631578947368421,0.05263157894736842
P_204,19,9.379128,2.0257745790453403,0.15789473684210525,0.05263157894736842,2,0.5263157894736842,0.05263157894736842
P_212,19,12.232634,1.5532223587934244,0.3157894736842105,0.05263157894736842,5,0.5789473684210527,0.10526315789473684
P_214,20,11.418851,1.7514897232086803,0.35,0.0,7,0.45,0.1
P_219,21,11.552997,1.8177102151649367,0.42857142857142855,0.09523809523809523,7,0.23809523809523808,0.047619047619047616
P_22,5,4.063028,1.2306093322130924,0.0,0.0,0,0.6,0.4
P_228,20,16.521326,1.2105565813081214,0.25,0.0,5,0.55,0.05
P_234,23,10.171431,2.2612355067986383,0.17391304347826086,0.0,4,0.4782608695652174,0.13043478260869565
P_240,24,12.358823,1.9419325242019836,0.625,0.0,15,0.125,0.08333333333333333
P_242,24,12.299733,1.9512618431667947,0.6666666666666666,0.0,16,0.16666666666666666,0.0
P_243,24,7.4683867,3.2135454582718217,0.25,0.041666666666666664,5,0.125,0.041666666666666664
P_246,24,11.434591,2.0988944321944603,0.5833333333333334,0.0,14,0.16666666666666666,0.0
P_253,26,12.008301,2.165168950514374,0.46153846153846156,0.038461538461538464,11,0.23076923076923078,0.07692307692307693
P_254,27,9.40756,2.8700320805568063,0.48148148148148145,0.0,13,0.18518518518518517,0.0
P_257,27,12.143659,2.223382656319931,0.1111111111111111,0.1111111111111111,0,0.4444444444444444,0.18518518518518517
P_260,28,12.75431,2.1953363811189033,0.2857142857142857,0.07142857142857142,6,0.32142857142857145,0.03571428571428571
P_27,6,6.2665157,0.9574698695068178,0.16666666666666666,0.0,1,0.5,0.16666666666666666
P_36,6,6.3494353,0.9449659203839429,0.0,0.0,0,1.0,0.3333333333333333
P_61,7,5.360578,1.3058293194230501,0.0,0.0,0,0.7142857142857143,0.42857142857142855
P_7,5,5.5098205,0.9074705855015491,0.6,0.0,3,0.0,0.0
P_70,7,5.40151,1.2959339719223182,0.14285714285714285,0.0,1,0.5714285714285714,0.42857142857142855
P_71,7,4.8174562,1.4530490041609678,0.0,0.0,0,0.42857142857142855,0.2857142857142857
P_75,8,5.646723,1.4167509708634562,0.25,0.125,1,0.375,0.125
P_8,5,5.422093,0.9221531387914452,0.2,0.0,1,0.6,0.2
P_91,9,8.125544,1.1076182036912063,0.0,0.1111111111111111,-1,0.7777777777777778,0.2222222222222222
P_99,9,8.496705,1.0592341315240765,0.0,0.2222222222222222,-2,0.3333333333333333,0.1111111111111111
